"site","lime_tha","emmean","SE","df","lower.CL","upper.CL",".group","col","crop","ecec","ExAc","pH","SOC","tex"
"Mbozi",2.5,0.845333333239998,0.0783770574930769,29.5773055457337,0.685170047260058,1.00549661921994,3,1,"bean",7.83365482246966,0.459874058358497,5.89427211731563,1.19731380095482,76.429696548086
"Mbozi",7,0.997333333239998,0.0783770574930769,29.5773055457337,0.837170047260058,1.15749661921994,4,1,"bean",7.83365482246966,0.459874058358497,5.89427211731563,1.19731380095482,76.429696548086
"Mbozi",0,0.545333333359998,0.0783770574930769,29.5773055457337,0.385170047380057,0.705496619339938,1,1,"bean",7.83365482246966,0.459874058358497,5.89427211731563,1.19731380095482,76.429696548086
"Misraq Gojjam",2.5,2.75260073630584,0.0907123824757711,52.6538887454403,2.57062681530015,2.93457465731153,2,1,"wheat",14.0445655352905,0.546762168942122,5.30208534783541,1.52163498709356,91.3576593057546
"Misraq Gojjam",7,2.75717922279155,0.0907123824757711,52.6538887454403,2.57520530178586,2.93915314379724,2,1,"wheat",14.0445655352905,0.546762168942122,5.30208534783541,1.52163498709356,91.3576593057546
"Misraq Gojjam",0,2.42634569767727,0.0907123824757711,52.6538887454399,2.24437177667158,2.60831961868296,1,1,"wheat",14.0445655352905,0.546762168942122,5.30208534783541,1.52163498709356,91.3576593057546
"Misraq Gojjam",1,2.66379984907727,0.0907123824757712,52.6538887454403,2.48182592807158,2.84577377008296,2,1,"wheat",14.0445655352905,0.546762168942122,5.30208534783541,1.52163498709356,91.3576593057546
"Misraq Gojjam",0,1.04358217506655,0.184615285685457,29.2544924387848,0.666144144632943,1.42102020550016,1,1,"fababean",14.0445655352905,0.546762168942122,5.30208534783541,1.52163498709356,91.3576593057546
"Misraq Gojjam",1,1.55742325421771,0.18386924856878,28.8136535281334,1.18126274755239,1.93358376088302,2,1,"fababean",14.0445655352905,0.546762168942122,5.30208534783541,1.52163498709356,91.3576593057546
"Misraq Gojjam",2.5,1.7966342114735,0.183089856637297,28.3649640402026,1.42180892107817,2.17145950186882,23,1,"fababean",14.0445655352905,0.546762168942122,5.30208534783541,1.52163498709356,91.3576593057546
"Misraq Gojjam",7,1.87769859039657,0.183089856637297,28.3649640402026,1.50287330000125,2.2525238807919,3,1,"fababean",14.0445655352905,0.546762168942122,5.30208534783541,1.52163498709356,91.3576593057546
"Ngororero",0,0.800275313207315,0.0925501745252258,56.736057268404,0.614928098341752,0.985622528072879,1,4,"bean",4.07987095403672,0.96329795156153,5.25934282569054,1.24758819165628,79.5246731421082
"Ngororero",0,2.70959939004237,0.230404170708756,34.7814462962194,2.2417489680524,3.17744981203235,1,5,"maize",4.07987095403672,0.96329795156153,5.25934282569054,1.24758819165628,79.5246731421082
"Ngororero",1,3.60522439004237,0.230404170708756,34.7814462962194,3.1373739680524,4.07307481203234,2,5,"maize",4.07987095403672,0.96329795156153,5.25934282569054,1.24758819165628,79.5246731421082
"Ngororero",2.5,4.04584939004237,0.230404170708756,34.7814462962194,3.5779989680524,4.51369981203234,3,5,"maize",4.07987095403672,0.96329795156153,5.25934282569054,1.24758819165628,79.5246731421082
"Ngororero",7,4.40209939004237,0.230404170708756,34.7814462962194,3.9342489680524,4.86994981203234,3,5,"maize",4.07987095403672,0.96329795156153,5.25934282569054,1.24758819165628,79.5246731421082
"Ngororero",1,0.975703884635886,0.0925501745252258,56.7360572684044,0.790356669770322,1.16105109950145,12,4,"bean",4.07987095403672,0.96329795156153,5.25934282569054,1.24758819165628,79.5246731421082
"Ngororero",7,1.16513245606446,0.0925501745252258,56.7360572684044,0.979785241198894,1.35047967093002,23,4,"bean",4.07987095403672,0.96329795156153,5.25934282569054,1.24758819165628,79.5246731421082
"Ngororero",2.5,1.18827531320731,0.0925501745252258,56.7360572684044,1.00292809834175,1.37362252807288,3,4,"bean",4.07987095403672,0.96329795156153,5.25934282569054,1.24758819165628,79.5246731421082
"Nyaruguru",1,5.11428141586408,0.226055212929841,51.9604825931317,4.66066023333492,5.56790259839324,2,4,"maize",5.84730401506047,1.06633726540998,5.13732738216658,1.66787745407564,81.3186761958496
"Nyaruguru",2.5,6.04403751342506,0.226055212929841,51.9604825931315,5.5904163308959,6.49765869595421,3,4,"maize",5.84730401506047,1.06633726540998,5.13732738216658,1.66787745407564,81.3186761958496
"Nyaruguru",0,4.33720824513237,0.226055212929841,51.9604825931317,3.88358706260321,4.79082942766152,1,4,"maize",5.84730401506047,1.06633726540998,5.13732738216658,1.66787745407564,81.3186761958496
"Nyaruguru",7,2.50244659364784,0.133214321520567,52.7614534070822,2.23522429846697,2.76966888882871,4,3,"bean",5.84730401506047,1.06633726540998,5.13732738216658,1.66787745407564,81.3186761958496
"Nyaruguru",7,6.89769605001042,0.226055212929841,51.9604825931317,6.44407486748126,7.35131723253958,4,4,"maize",5.84730401506047,1.06633726540998,5.13732738216658,1.66787745407564,81.3186761958496
"Nyaruguru",1,1.71673230793355,0.133214321520567,52.7614534070822,1.44951001275268,1.98395460311443,2,3,"bean",5.84730401506047,1.06633726540998,5.13732738216658,1.66787745407564,81.3186761958496
"Nyaruguru",2.5,2.15720849840974,0.133214321520567,52.7614534070822,1.88998620322887,2.42443079359062,3,3,"bean",5.84730401506047,1.06633726540998,5.13732738216658,1.66787745407564,81.3186761958496
"Nyaruguru",0,1.37863706983832,0.133214321520567,52.7614534070822,1.11141477465744,1.64585936501919,1,3,"bean",5.84730401506047,1.06633726540998,5.13732738216658,1.66787745407564,81.3186761958496
